family,segment,service_orders,tail_orders,tail_rate,tail_cutoff_min,tail_dates,tail_mean_min,tail_recorded_cost,t_created_to_notify_min,t_notify_to_accept_min,t_accept_to_pu_arrival_min,t_wait_at_pu_min,t_last_mile_min
lluvia,Drizzle,20725,1730,0.08347406513872135,49.53333333333333,5,65.73187861271676,1722170.1720374906,44.51584297846821,0.2385140221098266,4.1139115687861265,6.287055177485549,10.585030748805393
lluvia,Dry,288595,13970,0.04840693705712157,49.53333333333333,32,62.57965402052017,11873248.7969554,39.49101744255667,0.25504676352779765,4.117101496969697,7.510776046247912,11.214047869133857
lluvia,Rain,1998,60,0.03003003003003003,49.53333333333333,1,58.994166666666665,42898.330728574285,32.82475586555555,0.29679500611111115,4.636154962777778,7.485737634444445,13.757948948333333
lluvia,Unknown,21060,846,0.040170940170940174,49.53333333333333,4,59.8516548463357,680945.1515035832,35.982339152147354,0.25307028514578406,3.9897341805949567,7.989979246040189,11.645225067848699
pressure_band,High,108510,4188,0.038595521150124414,49.53333333333333,31,60.41165234001911,2933021.374323223,35.143942514863895,0.26622177904727795,4.3943375617000955,8.388883938749602,12.226631464505731
pressure_band,Low,59818,4885,0.08166438195860777,49.53333333333333,32,66.82554759467759,5412370.528321456,48.01828237275674,0.22344714262367787,3.6989292581644486,5.9485774082497445,8.944615563534631
pressure_band,Medium,164043,7528,0.04589040678358723,49.53333333333333,31,61.38396652497343,5971677.272955368,37.04543724421714,0.26570768190090327,4.219284275560131,7.810954885230694,12.050987155351132
pressure_band,Unknown,7,5,0.7142857142857143,49.53333333333333,2,116.55333333333333,2193.2756249992863,96.45481645666666,0.16283492333333335,10.186436053333335,3.6997145099999997,6.055672966666665
vertical,alcoholic_drinks,2934,62,0.021131561008861623,49.53333333333333,18,68.18951612903226,80974.87048035442,47.95329167930108,0.2684258811827957,4.24593836155914,4.656891140053764,11.07266636290323
vertical,bakery,27,0,0.0,49.53333333333333,0,,,,,,,
vertical,butchery,1614,24,0.01486988847583643,49.53333333333333,13,61.95902777777777,20782.34581428243,37.65720862430556,0.25966522291666666,5.173100656944444,4.017886328472222,14.858836716666667
vertical,convenience,454,8,0.01762114537444934,49.53333333333333,7,56.574999999999996,6764.386516071145,26.273604264583334,0.401307275,4.7190715291666665,5.332268895833334,19.85632218125
vertical,courier,4828,513,0.10625517812758907,49.53333333333333,31,62.60805717998701,694723.4453821473,28.79569511068876,0.3334541881416504,5.296085954515919,4.878947994509422,23.31221757849253
vertical,courier_business,1589,59,0.037130270610446825,49.53333333333333,23,70.39745762711864,80476.91438571556,45.7241937782486,0.2908729672316384,4.44285732740113,4.317375258757061,15.630692905932206
vertical,darkstores,17443,376,0.021555925012899158,49.53333333333333,29,72.34073581560284,312635.408287506,49.19219318382092,0.227485955141844,4.3287088020390065,6.698963392154255,11.901797425531914
vertical,flowers_and_plants,57,8,0.14035087719298245,49.53333333333333,7,64.45625000000001,5765.601317856999,34.969383989583335,0.20912996458333333,5.331688525,4.33622735,19.617578116666667
vertical,frozen_food,4,0,0.0,49.53333333333333,0,,,,,,,
