weather,orders,hours,dates,descriptive_support,service_orders,mean_min,median_min,p75_min,p90_min,p95_min,variance_min2,late_eligible_orders,tail95_orders,tail95_rate,late_orders,late_rate,late5_rate,pre_eligible_orders,pre_affected_orders,pre_rate,pre_events,post_eligible_orders,post_affected_orders,post_rate,post_events,cost_known_orders,recorded_cost_total,recorded_cost_mean,recorded_aborted_leg_cost,recorded_order_value_mean,inference_support
Drizzle,20850,41,5,True,20725,28.67939203860072,25.483333333333334,35.21666666666667,47.19333333333337,56.3,249.37263856750724,20725,1730.0,0.08347406513872135,7193.0,0.34706875753920385,0.17138721351025332,20850,5525.0,0.26498800959232616,10826.0,20850,936.0,0.04489208633093525,1055.0,20850,8875458.76942315,425.6814757517098,27459.36238393971,10070.30709856115,False
Dry,290118,565,32,True,288595,25.589340771669644,22.916666666666668,31.6,41.733333333333334,49.18333333333333,169.2783633142201,288595,13970.0,0.04840693705712157,101500.0,0.3517039449747917,0.15506852163065887,290113,74914.0,0.2582235198009052,149503.0,290113,12229.0,0.042152540561781096,13934.0,290118,99036705.61450073,341.3669803821229,333849.7014696534,9225.27201588664,True
Rain,2010,3,1,False,1998,24.93918084751418,22.791666666666668,30.958333333333332,40.63166666666666,45.471666666666614,126.96888931363067,1998,60.0,0.03003003003003003,690.0,0.34534534534534533,0.13913913913913914,2010,512.0,0.25472636815920396,971.0,2010,72.0,0.03582089552238806,80.0,2010,610133.8233464123,303.5491658439862,1454.7197642869999,9593.125781094528,False
Unknown,21166,41,4,False,21060,24.74962725546059,22.333333333333332,30.783333333333335,40.168333333333365,47.20083333333332,144.8491005754499,21060,846.0,0.040170940170940174,7544.0,0.3582146248812915,0.15408357075023743,21165,5301.0,0.2504606661941885,10495.0,21165,851.0,0.04020789038506969,958.0,21166,6625210.8902713265,313.011947948187,21754.030235722857,8908.085270953416,False
