stage,label,late_orders,on_time_orders,late_mean_min,on_time_mean_min,difference_min,share_of_total_difference,total_difference_min
t_created_to_notify_min,Creation to final rider notification,116927,215451,14.507968645088816,8.454356176591428,6.053612468497388,0.5097087259420433,11.87661140646377
t_notify_to_accept_min,Final rider notification to acceptance,116927,215451,0.278001504539442,0.22835297424619366,0.04964853029324834,0.0041803616026560774,11.87661140646377
t_accept_to_pu_arrival_min,Final rider approach to merchant,116927,215451,3.8298315708272397,2.756141169092199,1.0736904017350408,0.09040376627551287,11.87661140646377
t_wait_at_pu_min,Final rider waiting at pickup,116927,215451,6.447193847649245,3.5986467437121044,2.848547103937141,0.23984510450403704,11.87661140646377
t_last_mile_min,Pickup to destination arrival,116927,215451,8.368786514058915,6.517673612057962,1.8511129020009527,0.15586204167575074,11.87661140646377
