model,orders,groups,dates,events,non_events,status,reason,interpretation,demand_supply_interaction_eligible,weather_included,weather_exclusion,reference_categories,design_columns,design_rank,converged,warning
pre_any,334129,13340,32,86251.0,247878.0,estimated,,Adjusted association; whole-date clustered covariance; coarsened order-mix controls.,True,False,Sparse independent weather exposure; no weather-versus-staffing importance ranking is identified.,"{""_distance_band"": ""0.5-1km"", ""hour"": ""0"", ""vertical_group"": ""Other"", ""weekday"": ""0""}",42,42,True,
post_any,334129,13340,32,14088.0,320041.0,estimated,,Adjusted association; whole-date clustered covariance; coarsened order-mix controls.,True,False,Sparse independent weather exposure; no weather-versus-staffing importance ranking is identified.,"{""_distance_band"": ""0.5-1km"", ""hour"": ""0"", ""vertical_group"": ""Other"", ""weekday"": ""0""}",42,42,True,
_late5,332371,13295,32,51822.0,280549.0,estimated,,Adjusted association; whole-date clustered covariance; coarsened order-mix controls.,True,False,Sparse independent weather exposure; no weather-versus-staffing importance ranking is identified.,"{""_distance_band"": ""0.5-1km"", ""hour"": ""0"", ""vertical_group"": ""Other"", ""weekday"": ""0""}",42,42,True,
